
0;mojombo;grit;2;187;0;4;18363;11;449;1856;7954;0;0;0%;0%;0%

1;wycats;merb-core;0;0;0;0;6553;3;47;398;3462;0;0;0%;0%;0%

2;rubinius;rubinius;204;3289;0;0;0;0;584;2476;205132;0;0;0%;0%;0%

3;mojombo;god;101;119;0;0;18363;11;441;1829;3122;0;0;0%;0%;0%

4;vanpelt;jsawesome;0;0;0;0;49;13;0;16;192;0;0;0%;0%;0%

5;wycats;jspec;0;0;0;0;6553;3;3;50;156;0;0;0%;0%;0%

6;defunkt;exception_logger;0;0;0;0;14605;208;77;227;232;0;0;0%;0%;0%

7;defunkt;ambition;2;0;0;0;14605;208;13;141;473;0;0;0%;0%;0%

8;technoweenie;restful-authentication;28;5;0;0;2163;17;276;1634;1208;0;0;0%;0%;0%

9;technoweenie;attachment_fu;36;16;0;0;2163;17;291;1033;1008;0;0;0%;0%;0%

10;topfunky;bong;2;0;0;0;1082;199;4;60;123;0;0;0%;0%;0%

11;Caged;microsis;0;0;0;0;770;33;2;6;2054;0;0;0%;0%;0%

12;anotherjesse;s3;2;0;0;0;120;31;6;22;393;0;0;0%;0%;0%

13;anotherjesse;taboo;1;0;0;0;120;31;9;20;781;0;0;0%;0%;0%

14;anotherjesse;foxtracs;2;0;0;0;120;31;0;4;135;0;0;0%;0%;0%

15;anotherjesse;fotomatic;0;0;0;0;120;31;0;2;139;0;0;0%;0%;0%

16;mojombo;glowstick;0;0;0;0;18363;11;8;23;86;0;0;0%;0%;0%

17;defunkt;starling;0;0;0;0;14605;208;2;67;192;0;0;0%;0%;0%

18;wycats;merb-more;0;0;0;0;6553;3;22;191;1551;0;0;0%;0%;0%

19;macournoyer;thin;75;203;0;0;731;51;242;1647;3306;0;0;0%;0%;0%

20;jamesgolick;resource_controller;11;1;0;0;544;30;92;509;776;0;0;0%;0%;0%

21;jamesgolick;markaby;0;0;0;0;544;30;4;18;160;0;0;0%;0%;0%

22;jamesgolick;enum_field;2;1;0;0;544;30;13;54;131;0;0;0%;0%;0%

23;defunkt;subtlety;0;0;0;0;14605;208;1;8;117;0;0;0%;0%;0%

24;defunkt;zippy;0;0;0;0;14605;208;1;11;103;0;0;0%;0%;0%

25;defunkt;cache_fu;6;0;0;0;14605;208;67;262;105;0;0;0%;0%;0%

26;KirinDave;phosphor;0;0;0;0;267;8;0;3;84;0;0;0%;0%;0%

27;bmizerany;sinatra;2;5;0;0;962;16;1273;889;8111;0;0;0%;0%;0%

28;jnewland;gsa-prototype;0;0;0;0;414;84;3;7;252;0;0;0%;0%;0%

29;technoweenie;duplikate;0;0;0;0;2163;17;2;22;97;0;0;0%;0%;0%

30;jnewland;lazy_record;0;0;0;0;414;84;1;9;91;0;0;0%;0%;0%

