
0;mojombo;grit;2;187;0;4;18377;11;450;1855;7954;0;0;0%;0%;0%

1;rubinius;rubinius;205;3289;0;0;0;0;582;2474;205366;0;0;0%;0%;0%

2;mojombo;god;101;119;0;0;18377;11;441;1829;3122;0;0;0%;0%;0%

3;defunkt;ambition;2;0;0;0;14614;208;13;141;473;0;0;0%;0%;0%

4;technoweenie;restful-authentication;28;5;0;0;2163;17;275;1635;1208;0;0;0%;0%;0%

5;technoweenie;attachment_fu;36;16;0;0;2163;17;291;1033;1008;0;0;0%;0%;0%

6;topfunky;bong;2;0;0;0;1081;199;4;60;123;0;0;0%;0%;0%

7;anotherjesse;s3;2;0;0;0;120;31;6;22;393;0;0;0%;0%;0%

8;anotherjesse;taboo;1;0;0;0;120;31;9;20;781;0;0;0%;0%;0%

9;anotherjesse;foxtracs;2;0;0;0;120;31;0;4;135;0;0;0%;0%;0%

10;macournoyer;thin;75;203;0;0;732;51;242;1648;3306;0;0;0%;0%;0%

11;jamesgolick;resource_controller;11;1;0;0;543;30;92;509;776;0;0;0%;0%;0%

12;jamesgolick;enum_field;2;1;0;0;543;30;13;54;131;0;0;0%;0%;0%

13;defunkt;cache_fu;6;0;0;0;14614;208;67;262;105;0;0;0%;0%;0%

14;bmizerany;sinatra;2;5;0;0;960;16;1276;887;8111;0;0;0%;0%;0%

15;defunkt;mofo;0;1;0;0;14614;208;16;88;223;0;0;0%;0%;0%

16;schacon;ruby-git;112;131;0;0;10399;21;307;981;3181;0;0;0%;0%;0%

17;abhay;calais;6;7;0;0;34;0;50;136;349;0;0;0%;0%;0%

18;mojombo;chronic;90;222;26;26;18377;11;324;2290;1476;0;0;0%;0%;0%

19;sr;git-wiki;7;3;0;0;426;157;237;518;2301;0;0;0%;0%;0%

20;queso;signal-wiki;2;0;0;0;202;21;12;69;3438;0;0;0%;0%;0%

21;drnic;ruby-on-rails-tmbundle;32;24;0;0;1448;13;147;932;2337;0;0;0%;0%;0%

22;danwrong;low-pro-for-jquery;2;0;0;0;294;31;15;139;350;0;0;0%;0%;0%

23;mojombo;yaws;1;0;0;0;18377;11;6;37;808;0;0;0%;0%;0%

24;grempe;amazon-ec2;17;15;0;0;31;0;111;436;2628;0;0;0%;0%;0%

25;wayneeseguin;merblogger;1;0;0;0;608;16;1;16;6900;0;0;0%;0%;0%

26;wayneeseguin;alogr;1;0;0;0;608;16;0;8;124;0;0;0%;0%;0%

27;wayneeseguin;autozest;1;0;0;0;608;16;0;4;276;0;0;0%;0%;0%

28;wycats;merb-plugins;2;0;0;0;6558;3;63;215;7064;0;0;0%;0%;0%

29;atmos;fitter_happier;1;1;0;0;928;164;1;3;135;0;0;0%;0%;0%

30;brosner;oebfare;0;1;0;0;572;109;4;42;2826;0;0;0%;0%;0%

31;cristibalan;braid;0;28;0;0;65;35;27;366;718;0;0;0%;0%;0%

32;jnicklas;uploadcolumn;1;0;0;0;658;7;6;31;1254;0;0;0%;0%;0%

33;engineyard;eycap;4;42;0;0;0;0;54;120;1112;0;0;0%;0%;0%

34;chneukirchen;gitsum;1;1;0;0;485;1;11;55;96;0;0;0%;0%;0%

35;sevenwire;forgery;10;65;0;0;0;0;88;678;1043;0;0;0%;0%;0%

36;lazyatom;soup;0;1;0;0;126;17;6;18;1062;0;0;0%;0%;0%

37;josh;rails;0;1;0;0;1525;64;2;29;117608;0;0;0%;0%;0%

38;cdcarter;backpacking;1;0;0;0;9;0;5;41;179;0;0;0%;0%;0%

39;jnewland;capsize;1;1;0;0;413;84;10;40;253;0;0;0%;0%;0%

40;sr;ape;1;0;0;0;426;157;0;7;368;0;0;0%;0%;0%

41;collectiveidea;audited;93;135;1;1;0;0;304;1261;1587;0;0;0%;0%;0%

42;collectiveidea;acts_as_geocodable;11;22;0;0;0;0;31;207;790;0;0;0%;0%;0%

43;collectiveidea;acts_as_money;1;0;0;0;0;0;15;42;97;0;0;0%;0%;0%

44;collectiveidea;random_finders;0;1;0;0;0;0;2;12;96;0;0;0%;0%;0%

45;collectiveidea;with_action;2;0;0;0;0;0;2;24;431;0;0;0%;0%;0%

46;collectiveidea;graticule;16;31;0;0;0;0;48;290;921;0;0;0%;0%;0%

47;collectiveidea;tinder;14;61;0;0;0;0;93;251;780;0;0;0%;0%;0%

48;macournoyer;invisible;1;0;0;0;732;51;6;49;206;0;0;0%;0%;0%

49;adamwiggins;rush;16;5;0;0;552;16;79;454;894;0;0;0%;0%;0%

50;mtodd;halcyon;0;1;0;0;341;257;6;61;1274;0;0;0%;0%;0%

51;tommorris;reddy;1;0;0;0;169;62;3;49;600;0;0;0%;0%;0%

52;defunkt;facebox;28;23;0;0;14614;208;423;1950;1174;0;0;0%;0%;0%

53;haml;haml;44;807;0;0;0;0;451;2795;19735;0;0;0%;0%;0%

54;rsanheim;brain_buster;0;2;0;0;134;30;13;60;208;0;0;0%;0%;0%

55;mojombo;vanhelsing;1;0;0;0;18377;11;3;23;3926;0;0;0%;0%;0%

56;scharfie;slate;1;0;0;0;14;4;7;43;8866;0;0;0%;0%;0%

57;drnic;newjs;1;0;0;0;1448;13;4;19;474;0;0;0%;0%;0%

58;sferik;twitter;42;682;0;16;1794;116;830;3327;26717;0;0;0%;0%;0%

59;jnunemaker;googlebase;0;1;0;0;1239;158;3;22;291;0;0;0%;0%;0%

60;jnunemaker;googlereader;0;1;0;0;1239;158;5;29;145;0;0;0%;0%;0%

61;jnunemaker;scrobbler;1;1;0;0;1239;158;52;48;181;0;0;0%;0%;0%

62;DocSavage;rails-authorization-plugin;5;0;0;0;50;15;36;247;651;0;0;0%;0%;0%

63;delynn;userstamp;14;10;0;0;25;12;132;173;198;0;0;0%;0%;0%

64;gnufied;packet;0;1;0;0;117;96;5;37;195;0;0;0%;0%;0%

65;reinh;jquery-autocomplete;5;1;0;0;143;0;19;96;284;0;0;0%;0%;0%

66;KirinDave;fuzed-old;1;0;0;0;268;8;1;14;492;0;0;0%;0%;0%

67;toretore;barby;3;47;0;0;28;4;92;456;1326;0;0;0%;0%;0%

68;drnic;jsunittest;2;0;0;0;1448;13;11;48;539;0;0;0%;0%;0%

69;tobi;delayed_job;47;18;0;0;527;44;1006;2045;4838;0;0;0%;0%;0%

70;nullstyle;ruby-satisfaction;0;1;0;0;71;8;3;13;252;0;0;0%;0%;0%

71;robbyrussell;rubyurl;4;2;0;0;1010;29;40;201;4160;0;0;0%;0%;0%

72;trevorturk;eldorado;1;10;0;0;270;84;39;237;11954;0;0;0%;0%;0%

73;rsl;stringex;9;165;0;0;49;9;130;881;1837;0;0;0%;0%;0%

74;caffo-archived;bookqueue;0;7;0;0;0;0;10;39;4245;0;0;0%;0%;0%

75;judofyr;gemify;4;4;0;0;241;53;2;20;484;0;0;0%;0%;0%

76;jackdempsey;attachmerb_fu;1;0;0;0;64;5;4;18;123;0;0;0%;0%;0%

77;anotherjesse;elasticfox;1;0;0;0;120;31;2;9;182;0;0;0%;0%;0%

78;collectiveidea;awesome_nested_set;65;249;0;0;0;0;379;1640;1770;0;0;0%;0%;0%

79;kevinansfield;viper;1;0;0;0;12;0;0;2;4440;0;0;0%;0%;0%

80;lachie;logeye;1;0;0;0;55;28;0;5;231;0;0;0%;0%;0%
