Indice;User;Repository;IssuesAbertos;IssuesFechados;IssuesBugAbertos;IssuesBugFechados;Followers ;Following ;Forks;Watchers;Kilobytes;MB;NIssues;RangeIssue;IssuesMB
0;mojombo;grit;2;187;0;4;18377;11;450;1855;7954;7,77;189;Contem Issue;24,33190847
1;rubinius;rubinius;205;3289;0;0;0;0;582;2474;205366;200,55;3494;Contem Issue;17,42185172
2;mojombo;god;101;119;0;0;18377;11;441;1829;3122;3,05;220;Contem Issue;72,15887252
3;defunkt;ambition;2;0;0;0;14614;208;13;141;473;0,46;2;Não Contem Issue;4,329809725
4;technoweenie;restful-authentication;28;5;0;0;2163;17;275;1635;1208;1,18;33;Contem Issue;27,97350993
5;technoweenie;attachment_fu;36;16;0;0;2163;17;291;1033;1008;0,98;52;Contem Issue;52,82539683
6;topfunky;bong;2;0;0;0;1081;199;4;60;123;0,12;2;Não Contem Issue;16,6504065
7;anotherjesse;s3;2;0;0;0;120;31;6;22;393;0,38;2;Não Contem Issue;5,211195929
8;anotherjesse;taboo;1;0;0;0;120;31;9;20;781;0,76;1;Não Contem Issue;1,311139565
9;anotherjesse;foxtracs;2;0;0;0;120;31;0;4;135;0,13;2;Não Contem Issue;15,17037037
10;macournoyer;thin;75;203;0;0;732;51;242;1648;3306;3,23;278;Contem Issue;86,107683
11;jamesgolick;resource_controller;11;1;0;0;543;30;92;509;776;0,76;12;Contem Issue;15,83505155
12;jamesgolick;enum_field;2;1;0;0;543;30;13;54;131;0,13;3;Não Contem Issue;23,45038168
13;defunkt;cache_fu;6;0;0;0;14614;208;67;262;105;0,1;6;Contem Issue;58,51428571
14;bmizerany;sinatra;2;5;0;0;960;16;1276;887;8111;7,92;7;Contem Issue;0,883738133
15;defunkt;mofo;0;1;0;0;14614;208;16;88;223;0,22;1;Não Contem Issue;4,591928251
16;schacon;ruby-git;112;131;0;0;10399;21;307;981;3181;3,11;243;Contem Issue;78,22445772
17;abhay;calais;6;7;0;0;34;0;50;136;349;0,34;13;Contem Issue;38,14326648
18;mojombo;chronic;90;222;26;26;18377;11;324;2290;1476;1,44;312;Contem Issue;216,4552846
19;sr;git-wiki;7;3;0;0;426;157;237;518;2301;2,25;10;Contem Issue;4,450239027
20;queso;signal-wiki;2;0;0;0;202;21;12;69;3438;3,36;2;Não Contem Issue;0,595695172
21;drnic;ruby-on-rails-tmbundle;32;24;0;0;1448;13;147;932;2337;2,28;56;Contem Issue;24,53744116
22;danwrong;low-pro-for-jquery;2;0;0;0;294;31;15;139;350;0,34;2;Não Contem Issue;5,851428571
23;mojombo;yaws;1;0;0;0;18377;11;6;37;808;0,79;1;Não Contem Issue;1,267326733
24;grempe;amazon-ec2;17;15;0;0;31;0;111;436;2628;2,57;32;Contem Issue;12,46879756
25;wayneeseguin;merblogger;1;0;0;0;608;16;1;16;6900;6,74;1;Não Contem Issue;0,148405797
26;wayneeseguin;alogr;1;0;0;0;608;16;0;8;124;0,12;1;Não Contem Issue;8,258064516
27;wayneeseguin;autozest;1;0;0;0;608;16;0;4;276;0,27;1;Não Contem Issue;3,710144928
28;wycats;merb-plugins;2;0;0;0;6558;3;63;215;7064;6,9;2;Não Contem Issue;0,289920725
29;atmos;fitter_happier;1;1;0;0;928;164;1;3;135;0,13;2;Não Contem Issue;15,17037037
30;brosner;oebfare;0;1;0;0;572;109;4;42;2826;2,76;1;Não Contem Issue;0,362349611
31;cristibalan;braid;0;28;0;0;65;35;27;366;718;0,7;28;Contem Issue;39,93314763
32;jnicklas;uploadcolumn;1;0;0;0;658;7;6;31;1254;1,22;1;Não Contem Issue;0,816586922
33;engineyard;eycap;4;42;0;0;0;0;54;120;1112;1,09;46;Contem Issue;42,35971223
34;chneukirchen;gitsum;1;1;0;0;485;1;11;55;96;0,09;2;Não Contem Issue;21,33333333
35;sevenwire;forgery;10;65;0;0;0;0;88;678;1043;1,02;75;Contem Issue;73,6337488
36;lazyatom;soup;0;1;0;0;126;17;6;18;1062;1,04;1;Não Contem Issue;0,964218456
37;josh;rails;0;1;0;0;1525;64;2;29;117608;114,85;1;Não Contem Issue;0,008706891
38;cdcarter;backpacking;1;0;0;0;9;0;5;41;179;0,17;1;Não Contem Issue;5,720670391
39;jnewland;capsize;1;1;0;0;413;84;10;40;253;0,25;2;Não Contem Issue;8,09486166
40;sr;ape;1;0;0;0;426;157;0;7;368;0,36;1;Não Contem Issue;2,782608696
41;collectiveidea;audited;93;135;1;1;0;0;304;1261;1587;1,55;228;Contem Issue;147,1153119
42;collectiveidea;acts_as_geocodable;11;22;0;0;0;0;31;207;790;0,77;33;Contem Issue;42,77468354
43;collectiveidea;acts_as_money;1;0;0;0;0;0;15;42;97;0,09;1;Não Contem Issue;10,55670103
44;collectiveidea;random_finders;0;1;0;0;0;0;2;12;96;0,09;1;Não Contem Issue;10,66666667
45;collectiveidea;with_action;2;0;0;0;0;0;2;24;431;0,42;2;Não Contem Issue;4,751740139
46;collectiveidea;graticule;16;31;0;0;0;0;48;290;921;0,9;47;Contem Issue;52,25624321
47;collectiveidea;tinder;14;61;0;0;0;0;93;251;780;0,76;75;Contem Issue;98,46153846
48;macournoyer;invisible;1;0;0;0;732;51;6;49;206;0,2;1;Não Contem Issue;4,970873786
49;adamwiggins;rush;16;5;0;0;552;16;79;454;894;0,87;21;Contem Issue;24,05369128
50;mtodd;halcyon;0;1;0;0;341;257;6;61;1274;1,24;1;Não Contem Issue;0,803767661
51;tommorris;reddy;1;0;0;0;169;62;3;49;600;0,59;1;Não Contem Issue;1,706666667
52;defunkt;facebox;28;23;0;0;14614;208;423;1950;1174;1,15;51;Contem Issue;44,48381601
53;haml;haml;44;807;0;0;0;0;451;2795;19735;19,27;851;Contem Issue;44,15627059
54;rsanheim;brain_buster;0;2;0;0;134;30;13;60;208;0,2;2;Não Contem Issue;9,846153846
55;mojombo;vanhelsing;1;0;0;0;18377;11;3;23;3926;3,83;1;Não Contem Issue;0,260825267
56;scharfie;slate;1;0;0;0;14;4;7;43;8866;8,66;1;Não Contem Issue;0,115497406
57;drnic;newjs;1;0;0;0;1448;13;4;19;474;0,46;1;Não Contem Issue;2,160337553
58;sferik;twitter;42;682;0;16;1794;116;830;3327;26717;26,09;724;Contem Issue;27,74922334
59;jnunemaker;googlebase;0;1;0;0;1239;158;3;22;291;0,28;1;Não Contem Issue;3,518900344
60;jnunemaker;googlereader;0;1;0;0;1239;158;5;29;145;0,14;1;Não Contem Issue;7,062068966
61;jnunemaker;scrobbler;1;1;0;0;1239;158;52;48;181;0,18;2;Não Contem Issue;11,31491713
62;DocSavage;rails-authorization-plugin;5;0;0;0;50;15;36;247;651;0,64;5;Não Contem Issue;7,864823349
63;delynn;userstamp;14;10;0;0;25;12;132;173;198;0,19;24;Contem Issue;124,1212121
64;gnufied;packet;0;1;0;0;117;96;5;37;195;0,19;1;Não Contem Issue;5,251282051
65;reinh;jquery-autocomplete;5;1;0;0;143;0;19;96;284;0,28;6;Contem Issue;21,63380282
66;KirinDave;fuzed-old;1;0;0;0;268;8;1;14;492;0,48;1;Não Contem Issue;2,081300813
67;toretore;barby;3;47;0;0;28;4;92;456;1326;1,29;50;Contem Issue;38,61236802
68;drnic;jsunittest;2;0;0;0;1448;13;11;48;539;0,53;2;Não Contem Issue;3,799628942
69;tobi;delayed_job;47;18;0;0;527;44;1006;2045;4838;4,72;65;Contem Issue;13,75775114
70;nullstyle;ruby-satisfaction;0;1;0;0;71;8;3;13;252;0,25;1;Não Contem Issue;4,063492063
71;robbyrussell;rubyurl;4;2;0;0;1010;29;40;201;4160;4,06;6;Contem Issue;1,476923077
72;trevorturk;eldorado;1;10;0;0;270;84;39;237;11954;11,67;11;Contem Issue;0,942278735
73;rsl;stringex;9;165;0;0;49;9;130;881;1837;1,79;174;Contem Issue;96,99292324
74;caffo-archived;bookqueue;0;7;0;0;0;0;10;39;4245;4,15;7;Contem Issue;1,688574794
75;judofyr;gemify;4;4;0;0;241;53;2;20;484;0,47;8;Contem Issue;16,92561983
76;jackdempsey;attachmerb_fu;1;0;0;0;64;5;4;18;123;0,12;1;Não Contem Issue;8,325203252
77;anotherjesse;elasticfox;1;0;0;0;120;31;2;9;182;0,18;1;Não Contem Issue;5,626373626
78;collectiveidea;awesome_nested_set;65;249;0;0;0;0;379;1640;1770;1,73;314;Contem Issue;181,6587571
79;kevinansfield;viper;1;0;0;0;12;0;0;2;4440;4,34;1;Não Contem Issue;0,230630631
80;lachie;logeye;1;0;0;0;55;28;0;5;231;0,23;1;Não Contem Issue;4,432900433
81;pfig;yeti;1;0;0;0;37;25;0;2;380;0,37;1;Não Contem Issue;2,694736842
82;stevedekorte;io;75;230;0;0;446;12;200;1327;30241;29,53;305;Contem Issue;10,3277008
83;andykent;jquery-humanize-messages-plugin;1;1;0;0;62;1;4;29;83;0,08;2;Não Contem Issue;24,6746988
84;avalade;4slicer;1;0;0;0;10;11;0;2;212;0,21;1;Não Contem Issue;4,830188679
85;rtomayko;date-performance;3;1;0;0;1792;100;6;78;335;0,33;4;Não Contem Issue;12,22686567
86;churchio;onebody;45;480;5;114;0;0;223;1201;33299;32,52;525;Contem Issue;16,14462897
87;TekNoLogic;TourGuide;3;45;0;0;0;0;19;13;4097;4;48;Contem Issue;11,99707103
88;ELLIOTTCABLE;fora;0;2;0;0;275;683;0;9;160;0,16;2;Não Contem Issue;12,8
89;seaofclouds;micro-theme;2;0;0;0;126;24;0;5;116;0,11;2;Não Contem Issue;17,65517241
90;alex;pyelection;1;0;0;0;2088;41;0;2;92;0,09;1;Não Contem Issue;11,13043478
91;sintaxi;pmpknpi;1;0;0;0;416;45;2;20;463;0,45;1;Não Contem Issue;2,211663067
92;mislav;will_paginate;101;348;3;19;1672;20;687;4451;2494;2,44;449;Contem Issue;184,3528468
